date,amount,type,comment
2021-11-14,-200000.0,银子入股 4%,
2022-01-14,-100000.0,银子入股 2%,
2022-06-27,-200000.0,银子入股 4%,
2022-07-30,4628.6,项目收入分红,firenp的钱
2022-08-17,4900.0,项目收入分红,2 新的外包项目
2022-09-07,3234.0,项目收入分红,
2022-10-13,5600.0,项目收入分红,
2022-10-17,3584.0,项目收入分红,
2023-10-28,4000.0,项目收入分红,ideass 的新功能 NFT
2023-12-05,2558.42,分红/工资,车雷达分红
2024-01-03,20000.0,分红,车雷达
2024-01-30,10000.0,分红,车雷达
2024-02-05,4558.0,工资,
2024-03-06,4558.0,工资,
2024-04-05,9448.0,工资,
2024-05-05,9421.0,工资,
2024-06-06,58.0,工资,
2024-07-05,58.0,工资,
2024-07-06,10000.0,分红,
2024-08-04,10000.0,分红,
2024-09-17,10000.0,分红,
2024-10-06,15000.0,分红,
2024-11-06,20000.0,分红,
2024-12-06,23000.0,分红,
2025-01-05,20000.0,分红,
2025-08-03,10000.0,分红,
2025-08-05,4530.0,工资,
2025-09-08,4530.0,工资,
2025-10-02,20000.0,分红,
2025-10-03,4530.0,工资,
2025-11-05,4522.0,工资,
2025-12-07,44139.0,分红,
